datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2025-11-06 09:15:00,83.05,NFO,11-NOV-2025,113.6,81.9,113.6,4241250,Options,Put,NIFTY,25600.0,2967975
2025-11-06 09:16:00,83.1,NFO,11-NOV-2025,87.45,81.7,84.35,4241250,Options,Put,NIFTY,25600.0,2461950
2025-11-06 09:17:00,84.15,NFO,11-NOV-2025,86.15,82.75,83.4,4241250,Options,Put,NIFTY,25600.0,1389825
2025-11-06 09:18:00,78.8,NFO,11-NOV-2025,84.5,78.8,84.5,5647500,Options,Put,NIFTY,25600.0,1372425
2025-11-06 09:19:00,78.15,NFO,11-NOV-2025,80.95,77.9,79.55,5647500,Options,Put,NIFTY,25600.0,944025
2025-11-06 09:20:00,76.1,NFO,11-NOV-2025,79.35,76.1,79.35,5647500,Options,Put,NIFTY,25600.0,1115025
2025-11-06 09:21:00,81.1,NFO,11-NOV-2025,82.4,75.85,76.35,6486300,Options,Put,NIFTY,25600.0,1039350
2025-11-06 09:22:00,81.8,NFO,11-NOV-2025,81.9,77.2,81.05,6486300,Options,Put,NIFTY,25600.0,926925
2025-11-06 09:23:00,80.9,NFO,11-NOV-2025,83.1,80.0,82.2,6486300,Options,Put,NIFTY,25600.0,1189800
2025-11-06 09:24:00,80.35,NFO,11-NOV-2025,82.6,80.15,81.1,6782400,Options,Put,NIFTY,25600.0,545325
2025-11-06 09:25:00,96.45,NFO,11-NOV-2025,97.05,80.95,81.0,6782400,Options,Put,NIFTY,25600.0,3116625
2025-11-06 09:26:00,95.6,NFO,11-NOV-2025,99.95,94.3,96.75,6782400,Options,Put,NIFTY,25600.0,2404650
2025-11-06 09:27:00,99.0,NFO,11-NOV-2025,99.6,95.4,96.05,6795675,Options,Put,NIFTY,25600.0,1650300
2025-11-06 09:28:00,98.75,NFO,11-NOV-2025,101.75,96.5,99.7,6795675,Options,Put,NIFTY,25600.0,1671075
2025-11-06 09:29:00,95.25,NFO,11-NOV-2025,100.25,93.2,97.95,6795675,Options,Put,NIFTY,25600.0,1662000
2025-11-06 09:30:00,97.5,NFO,11-NOV-2025,97.7,93.5,95.6,8252550,Options,Put,NIFTY,25600.0,1881600
2025-11-06 09:31:00,100.35,NFO,11-NOV-2025,101.35,91.4,97.5,8252550,Options,Put,NIFTY,25600.0,2331750
2025-11-06 09:32:00,100.5,NFO,11-NOV-2025,102.95,95.75,100.8,8252550,Options,Put,NIFTY,25600.0,2551500
2025-11-06 09:33:00,100.8,NFO,11-NOV-2025,101.75,99.15,100.45,8252550,Options,Put,NIFTY,25600.0,1171350
2025-11-06 09:34:00,95.0,NFO,11-NOV-2025,101.45,95.0,100.4,8707725,Options,Put,NIFTY,25600.0,1399275
2025-11-06 09:35:00,93.35,NFO,11-NOV-2025,97.2,92.65,94.85,8707725,Options,Put,NIFTY,25600.0,1200750
