datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2026-05-20 09:15:00,199.55,NFO,26-MAY-2026,204.3,180.75,200.1,171405,Options,Call,NIFTY,23450.0,934570
2026-05-20 09:16:00,214.9,NFO,26-MAY-2026,217.95,200.25,201.35,664430,Options,Call,NIFTY,23450.0,951470
2026-05-20 09:17:00,219.0,NFO,26-MAY-2026,222.0,214.55,216.2,945490,Options,Call,NIFTY,23450.0,878540
2026-05-20 09:18:00,223.75,NFO,26-MAY-2026,224.9,218.25,219.65,1164345,Options,Call,NIFTY,23450.0,824395
2026-05-20 09:19:00,221.65,NFO,26-MAY-2026,227.65,218.7,223.3,1382485,Options,Call,NIFTY,23450.0,516100
2026-05-20 09:20:00,216.75,NFO,26-MAY-2026,223.05,211.05,223.05,1604200,Options,Call,NIFTY,23450.0,694850
2026-05-20 09:21:00,221.0,NFO,26-MAY-2026,223.5,214.0,215.45,1744730,Options,Call,NIFTY,23450.0,423345
2026-05-20 09:22:00,221.0,NFO,26-MAY-2026,224.5,217.2,220.9,1850680,Options,Call,NIFTY,23450.0,397215
2026-05-20 09:23:00,220.4,NFO,26-MAY-2026,226.0,218.6,221.1,1969370,Options,Call,NIFTY,23450.0,378560
2026-05-20 09:24:00,217.85,NFO,26-MAY-2026,219.95,213.3,219.95,2075450,Options,Call,NIFTY,23450.0,404690
2026-05-20 09:25:00,229.85,NFO,26-MAY-2026,230.8,214.7,218.2,2165800,Options,Call,NIFTY,23450.0,583765
2026-05-20 09:26:00,222.35,NFO,26-MAY-2026,231.6,217.25,229.0,2254005,Options,Call,NIFTY,23450.0,797810
2026-05-20 09:27:00,229.35,NFO,26-MAY-2026,231.2,222.7,222.7,2310685,Options,Call,NIFTY,23450.0,503685
2026-05-20 09:28:00,226.2,NFO,26-MAY-2026,229.6,218.3,229.6,2351700,Options,Call,NIFTY,23450.0,377000
2026-05-20 09:29:00,229.95,NFO,26-MAY-2026,233.3,224.85,225.6,2401685,Options,Call,NIFTY,23450.0,500435
2026-05-20 09:30:00,241.7,NFO,26-MAY-2026,243.4,229.3,229.3,2385500,Options,Call,NIFTY,23450.0,829335
2026-05-20 09:31:00,247.95,NFO,26-MAY-2026,249.1,241.55,241.55,2299700,Options,Call,NIFTY,23450.0,996710
2026-05-20 09:32:00,255.5,NFO,26-MAY-2026,262.55,247.15,249.15,2310815,Options,Call,NIFTY,23450.0,1003275
2026-05-20 09:33:00,253.9,NFO,26-MAY-2026,259.0,250.7,256.0,2222415,Options,Call,NIFTY,23450.0,457275
2026-05-20 09:34:00,258.1,NFO,26-MAY-2026,262.5,251.5,253.95,2188680,Options,Call,NIFTY,23450.0,354510
2026-05-20 09:35:00,256.95,NFO,26-MAY-2026,261.7,254.4,259.0,2179970,Options,Call,NIFTY,23450.0,307190
2026-05-20 09:36:00,259.5,NFO,26-MAY-2026,261.25,251.55,257.05,2161705,Options,Call,NIFTY,23450.0,289900
2026-05-20 09:37:00,259.85,NFO,26-MAY-2026,264.85,257.2,259.45,2142660,Options,Call,NIFTY,23450.0,365885
2026-05-20 09:38:00,265.05,NFO,26-MAY-2026,265.2,258.55,261.5,2145195,Options,Call,NIFTY,23450.0,253240
2026-05-20 09:39:00,268.05,NFO,26-MAY-2026,270.55,261.0,264.85,2132715,Options,Call,NIFTY,23450.0,350870
2026-05-20 09:40:00,258.3,NFO,26-MAY-2026,268.8,256.65,268.8,2080390,Options,Call,NIFTY,23450.0,317135
2026-05-20 09:41:00,253.75,NFO,26-MAY-2026,261.5,251.05,258.05,2100410,Options,Call,NIFTY,23450.0,272675
2026-05-20 09:42:00,248.15,NFO,26-MAY-2026,256.15,247.4,255.3,2112435,Options,Call,NIFTY,23450.0,238225
2026-05-20 09:43:00,256.25,NFO,26-MAY-2026,257.25,245.3,247.55,2091180,Options,Call,NIFTY,23450.0,219895
2026-05-20 09:44:00,262.5,NFO,26-MAY-2026,264.3,252.6,256.45,2091635,Options,Call,NIFTY,23450.0,279955
2026-05-20 09:45:00,262.65,NFO,26-MAY-2026,265.95,255.45,262.0,2076945,Options,Call,NIFTY,23450.0,215540
2026-05-20 09:46:00,256.6,NFO,26-MAY-2026,270.0,256.6,263.15,2081950,Options,Call,NIFTY,23450.0,289770
2026-05-20 09:47:00,254.3,NFO,26-MAY-2026,260.55,251.6,256.75,2079155,Options,Call,NIFTY,23450.0,147875
2026-05-20 09:48:00,261.6,NFO,26-MAY-2026,261.7,254.5,255.55,2083380,Options,Call,NIFTY,23450.0,116350
2026-05-20 09:49:00,258.45,NFO,26-MAY-2026,262.0,256.0,260.45,2091765,Options,Call,NIFTY,23450.0,96655
2026-05-20 09:50:00,259.75,NFO,26-MAY-2026,262.0,255.55,258.7,2086435,Options,Call,NIFTY,23450.0,93730
2026-05-20 09:51:00,267.3,NFO,26-MAY-2026,269.05,256.4,259.05,2083120,Options,Call,NIFTY,23450.0,170625
2026-05-20 09:52:00,264.1,NFO,26-MAY-2026,269.85,259.2,268.0,2064465,Options,Call,NIFTY,23450.0,207675
2026-05-20 09:53:00,257.9,NFO,26-MAY-2026,266.75,256.9,265.6,2035670,Options,Call,NIFTY,23450.0,98150
2026-05-20 09:54:00,260.55,NFO,26-MAY-2026,261.8,257.0,258.1,2029365,Options,Call,NIFTY,23450.0,62530
2026-05-20 09:55:00,255.1,NFO,26-MAY-2026,261.2,252.5,260.4,2032290,Options,Call,NIFTY,23450.0,132665
2026-05-20 09:56:00,258.5,NFO,26-MAY-2026,260.55,254.8,255.35,2025205,Options,Call,NIFTY,23450.0,58045
2026-05-20 09:57:00,265.55,NFO,26-MAY-2026,266.05,259.1,259.6,2017340,Options,Call,NIFTY,23450.0,120835
2026-05-20 09:58:00,267.6,NFO,26-MAY-2026,272.8,261.65,265.2,2012335,Options,Call,NIFTY,23450.0,277485
2026-05-20 09:59:00,269.4,NFO,26-MAY-2026,275.0,268.0,268.05,1977235,Options,Call,NIFTY,23450.0,170365
2026-05-20 10:00:00,259.45,NFO,26-MAY-2026,270.5,258.4,269.4,1974895,Options,Call,NIFTY,23450.0,189865
2026-05-20 10:01:00,258.55,NFO,26-MAY-2026,262.7,255.9,259.6,1979640,Options,Call,NIFTY,23450.0,125515
2026-05-20 10:02:00,247.9,NFO,26-MAY-2026,261.4,247.9,258.5,1982955,Options,Call,NIFTY,23450.0,185835
2026-05-20 10:03:00,244.0,NFO,26-MAY-2026,249.95,243.25,248.8,1971060,Options,Call,NIFTY,23450.0,216710
2026-05-20 10:04:00,245.85,NFO,26-MAY-2026,249.3,239.55,243.45,1939860,Options,Call,NIFTY,23450.0,208065
2026-05-20 10:05:00,236.6,NFO,26-MAY-2026,246.75,236.6,246.75,1950260,Options,Call,NIFTY,23450.0,170950
2026-05-20 10:06:00,235.25,NFO,26-MAY-2026,239.0,235.25,237.85,1957345,Options,Call,NIFTY,23450.0,151840
2026-05-20 10:07:00,242.6,NFO,26-MAY-2026,244.55,236.0,236.45,1976975,Options,Call,NIFTY,23450.0,241865
2026-05-20 10:08:00,236.95,NFO,26-MAY-2026,243.0,234.8,243.0,2040805,Options,Call,NIFTY,23450.0,142155
2026-05-20 10:09:00,242.7,NFO,26-MAY-2026,246.9,236.4,236.4,2056535,Options,Call,NIFTY,23450.0,195780
2026-05-20 10:10:00,245.4,NFO,26-MAY-2026,246.0,238.35,243.2,2097355,Options,Call,NIFTY,23450.0,166270
2026-05-20 10:11:00,243.0,NFO,26-MAY-2026,246.8,241.7,245.1,2081365,Options,Call,NIFTY,23450.0,138710
2026-05-20 10:12:00,245.35,NFO,26-MAY-2026,247.3,242.45,243.7,2102100,Options,Call,NIFTY,23450.0,117325
2026-05-20 10:13:00,248.15,NFO,26-MAY-2026,252.5,241.3,245.35,2109770,Options,Call,NIFTY,23450.0,251420
2026-05-20 10:14:00,241.75,NFO,26-MAY-2026,250.55,240.0,247.65,2116920,Options,Call,NIFTY,23450.0,184730
2026-05-20 10:15:00,243.15,NFO,26-MAY-2026,244.5,238.6,241.05,2118350,Options,Call,NIFTY,23450.0,141700
2026-05-20 10:16:00,242.7,NFO,26-MAY-2026,244.65,239.7,243.4,2145000,Options,Call,NIFTY,23450.0,79690
2026-05-20 10:17:00,242.55,NFO,26-MAY-2026,249.85,240.85,243.35,2150915,Options,Call,NIFTY,23450.0,137345
2026-05-20 10:18:00,251.95,NFO,26-MAY-2026,252.85,242.75,242.75,2148185,Options,Call,NIFTY,23450.0,146250
2026-05-20 10:19:00,243.7,NFO,26-MAY-2026,252.45,243.65,252.0,2136485,Options,Call,NIFTY,23450.0,137605
2026-05-20 10:20:00,241.15,NFO,26-MAY-2026,247.8,241.1,242.55,2148900,Options,Call,NIFTY,23450.0,87100
2026-05-20 10:21:00,243.35,NFO,26-MAY-2026,245.6,239.05,240.6,2155985,Options,Call,NIFTY,23450.0,145665
2026-05-20 10:22:00,236.4,NFO,26-MAY-2026,245.1,236.0,243.65,2159950,Options,Call,NIFTY,23450.0,104780
2026-05-20 10:23:00,228.55,NFO,26-MAY-2026,235.8,227.8,235.0,2136355,Options,Call,NIFTY,23450.0,291785
2026-05-20 10:24:00,225.75,NFO,26-MAY-2026,230.4,224.65,227.95,2096965,Options,Call,NIFTY,23450.0,197275
2026-05-20 10:25:00,231.0,NFO,26-MAY-2026,233.4,225.55,226.5,2140840,Options,Call,NIFTY,23450.0,230230
2026-05-20 10:26:00,239.75,NFO,26-MAY-2026,242.5,232.05,232.05,2170545,Options,Call,NIFTY,23450.0,288665
